dataset_id	signature	comparison	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	n	pearson_fdr	spearman_fdr
GSE135251	Kupffer cells	prior_signature_vs_endotype_1	0.3766631559183715	1.093350869575116e-08	0.3572774145917431	6.675474020728788e-08	216	2.6286946438720876e-08	1.571517842379902e-07
GSE135251	Liver aging signature	prior_signature_vs_endotype_1	0.5229799452384266	1.459659799785268e-16	0.5182652806058657	3.02698256775268e-16	216	6.872564890655637e-16	1.7102451507802643e-15
GSE135251	Macrophages	prior_signature_vs_endotype_1	0.4009272564375506	9.550088355059972e-10	0.35305493039926644	9.745751727175846e-08	216	2.632097522248236e-09	2.2474896840221848e-07
GSE135251	Macrophages C0	prior_signature_vs_endotype_1	0.5242491101675073	1.1971247292276639e-16	0.5307946034127579	4.248805026374405e-17	216	5.881525843596783e-16	2.8242056940018104e-16
GSE135251	Macrophages C1	prior_signature_vs_endotype_1	0.5925937447596091	7.211540906703709e-22	0.5446206789792686	4.419445332751773e-18	216	5.093150765359494e-21	3.1212332662559394e-17
GSE135251	Macrophages C2	prior_signature_vs_endotype_1	0.478062641841141	9.828773297025944e-14	0.4135271913216399	2.48618657702762e-10	216	4.258819041521884e-13	8.513305551640032e-10
GSE135251	Monocytes	prior_signature_vs_endotype_1	0.42861737323016186	4.60080190048623e-11	0.41565629502613743	1.9694534193988996e-10	216	1.4051097696079567e-10	6.954632387252365e-10
GSE135251	NAFL signature	prior_signature_vs_endotype_1	0.3810282411295778	7.15471586338425e-09	0.34616987580228387	1.78515770688679e-07	216	1.7575715055704787e-08	3.9553494289844565e-07
GSE135251	NASH signature	prior_signature_vs_endotype_1	0.43217144039084393	3.0543862021056676e-11	0.3330356398623465	5.444185986235828e-07	216	9.587378912165013e-11	1.1185327571720884e-06
GSE135251	NK cells	prior_signature_vs_endotype_1	0.34663817661358304	1.7139418775840137e-07	0.41292227818859467	2.655544348511753e-10	216	3.3978145994209396e-07	8.825779746524355e-10
GSE135251	Profibrotic Macrophages	prior_signature_vs_endotype_1	0.7334077194381655	9.936588886281348e-38	0.685028399957132	2.885921235434614e-31	216	5.614172720748962e-36	1.0870303320137047e-29
GSE162694	B cells	prior_signature_vs_endotype_1	0.4211676110385707	3.7605829039965126e-06	0.5499282468309017	3.381058007353809e-10	112	6.6397791898688425e-06	1.0915987280885156e-09
GSE162694	CD14+Monocytes	prior_signature_vs_endotype_1	0.6489242458516287	1.0138374592211746e-14	0.5311442922062392	1.6932343604754292e-09	112	4.582545315679709e-14	4.906038018813423e-09
GSE162694	CD16+Monocytes	prior_signature_vs_endotype_1	0.7999311677336136	3.793075542201982e-26	0.8172258858099567	4.353161754263451e-28	112	3.5718128022402e-25	7.027246831882428e-27
GSE162694	CD4 T-cell signature	prior_signature_vs_endotype_1	0.44077864932969935	1.1512277278584403e-06	0.539993849728363	8.025032876564333e-10	112	2.1326021843935044e-06	2.4508884190588368e-09
GSE162694	CD8 T-cell signature	prior_signature_vs_endotype_1	0.4498089921494978	6.507497839976791e-07	0.5266426350497146	2.4553671721408625e-09	112	1.2463512812158937e-06	6.767231474437011e-09
GSE162694	Cholangiocytes	prior_signature_vs_endotype_1	0.8822899089719095	8.630978062443695e-38	0.9025438206854136	4.697133110185955e-42	112	5.614172720748962e-36	5.307760414510129e-40
GSE162694	Endothelial cells	prior_signature_vs_endotype_1	0.8280551907980858	2.0713230045466804e-29	0.7267570984385144	1.184067057000146e-19	112	3.9009916585629146e-28	1.02922751877705e-18
GSE162694	Fibrosis signature	prior_signature_vs_endotype_1	0.6240945587733123	1.9591590257656274e-13	0.5445638432364097	5.411027890856873e-10	112	7.633964479707444e-13	1.698461532407852e-09
GSE162694	HSC TGF-beta signature	prior_signature_vs_endotype_1	0.8176644437484895	3.8633056540051627e-28	0.7725424539583833	1.9592379240854186e-23	112	4.576011774002562e-27	2.4599320602405813e-22
GSE162694	Hepatocytes	prior_signature_vs_endotype_1	0.6152563158740387	5.28154029228828e-13	0.6031622646666894	1.9532497202341587e-12	112	1.9252066226728248e-12	9.196550766102498e-12
GSE162694	Kupffer cells	prior_signature_vs_endotype_1	0.7901386606967289	3.938230503606822e-25	0.6729593057026686	4.390313619380562e-16	112	3.1787146207683634e-24	2.36240685233335e-15
GSE162694	Liver aging signature	prior_signature_vs_endotype_1	0.8581378086201898	1.2510494645091094e-33	0.7519732121502033	1.2375301055111785e-21	112	3.5342147372382344e-32	1.2712809265705742e-20
