dataset_id	sample_id	signature	score
GSE48452	GSM1178984	Hepatocytes	1.994591554411593
GSE48452	GSM1178984	Cholangiocytes	1.40699621182631
GSE48452	GSM1178984	B cells	-0.571122222666299
GSE48452	GSM1178984	CD4 T-cell signature	-0.0920514960362301
GSE48452	GSM1178984	CD8 T-cell signature	-0.41363795795865704
GSE48452	GSM1178984	Endothelial cells	1.0558693192834279
GSE48452	GSM1178984	Kupffer cells	0.576820723032649
GSE48452	GSM1178984	Macrophages	0.5005740181564451
GSE48452	GSM1178984	Monocytes	0.7996652162031255
GSE48452	GSM1178984	NK cells	-0.7364548086739621
GSE48452	GSM1178984	CD14+Monocytes	1.3450039384319703
GSE48452	GSM1178984	CD16+Monocytes	-0.5392577585549826
GSE48452	GSM1178984	Macrophages C0	1.3209947223259462
GSE48452	GSM1178984	Macrophages C1	0.388609082522717
GSE48452	GSM1178984	Macrophages C2	0.4901090409515954
GSE48452	GSM1178984	Profibrotic Macrophages	0.009236694891036516
GSE48452	GSM1178985	NASH signature	-0.42061052751307865
GSE48452	GSM1178985	Fibrosis signature	-0.7425533936910799
GSE48452	GSM1178985	NAFL signature	-0.7698068324337158
GSE48452	GSM1178985	Liver aging signature	0.7850407936385713
GSE48452	GSM1178985	HSC TGF-beta signature	-0.3497378870988419
GSE48452	GSM1178985	Hepatocytes	1.6750049615604166
GSE48452	GSM1178985	Cholangiocytes	-0.00988196476114284
GSE48452	GSM1178985	B cells	-0.5740974125862636
GSE48452	GSM1178985	CD4 T-cell signature	1.0592396112825737
GSE48452	GSM1178985	CD8 T-cell signature	1.264425516837254
GSE48452	GSM1178985	Endothelial cells	0.7880508649704773
GSE48452	GSM1178985	Kupffer cells	1.296440050424896
GSE48452	GSM1178985	Macrophages	0.7631387167736956
GSE48452	GSM1178985	Monocytes	0.9258101446709218
GSE48452	GSM1178985	NK cells	1.0706351034883093
GSE48452	GSM1178985	CD14+Monocytes	0.6398509179021371
GSE48452	GSM1178985	CD16+Monocytes	0.9291535093185046
GSE48452	GSM1178985	Macrophages C0	1.0099685385320984
GSE48452	GSM1178985	Macrophages C1	0.1623558344787813
GSE48452	GSM1178985	Macrophages C2	0.8671491930131139
GSE48452	GSM1178985	Profibrotic Macrophages	0.08346811682101633
GSE48452	GSM1178986	NASH signature	-0.5534383826968747
GSE48452	GSM1178986	Fibrosis signature	-0.8498799935611843
GSE48452	GSM1178986	NAFL signature	0.05774701328408642
GSE48452	GSM1178986	Liver aging signature	0.01764699503135597
GSE48452	GSM1178986	HSC TGF-beta signature	-0.4328303492177754
GSE48452	GSM1178986	Hepatocytes	-0.4529806692124898
GSE48452	GSM1178986	Cholangiocytes	-1.5768325024627716
GSE48452	GSM1178986	B cells	0.5077933478249632
GSE48452	GSM1178986	CD4 T-cell signature	-0.27258121727908263
GSE48452	GSM1178986	CD8 T-cell signature	0.04565965165211951
GSE48452	GSM1178986	Endothelial cells	1.5639928002301917
GSE48452	GSM1178986	Kupffer cells	0.5641554955640607
GSE48452	GSM1178986	Macrophages	0.13605322444837134
GSE48452	GSM1178986	Monocytes	0.733526591650961
GSE48452	GSM1178986	NK cells	0.6863437377327891
GSE48452	GSM1178986	CD14+Monocytes	1.0325514636781765
GSE48452	GSM1178986	CD16+Monocytes	0.29715003614632746
GSE48452	GSM1178986	Macrophages C0	-0.13628170975598808
GSE48452	GSM1178986	Macrophages C1	-0.1317024732229038
GSE48452	GSM1178986	Macrophages C2	0.3989494967475863
GSE48452	GSM1178986	Profibrotic Macrophages	-0.566962830980352
GSE48452	GSM1178987	NASH signature	0.34473808680220336
GSE48452	GSM1178987	Fibrosis signature	0.02081618437433443
GSE48452	GSM1178987	NAFL signature	-0.3792650250529941
GSE48452	GSM1178987	Liver aging signature	0.6807524023275383
GSE48452	GSM1178987	HSC TGF-beta signature	0.9583502569130862
GSE48452	GSM1178987	Hepatocytes	0.3347201938104478
GSE48452	GSM1178987	Cholangiocytes	0.3172742571032673
GSE48452	GSM1178987	B cells	-0.4754930026762017
GSE48452	GSM1178987	CD4 T-cell signature	-0.3625759702291331
GSE48452	GSM1178987	CD8 T-cell signature	-0.6688552633436949
GSE48452	GSM1178987	Endothelial cells	0.7121304512367794
GSE48452	GSM1178987	Kupffer cells	0.4719769577796585
GSE48452	GSM1178987	Macrophages	0.4346093033549862
GSE48452	GSM1178987	Monocytes	1.3418106780111885
GSE48452	GSM1178987	NK cells	-1.0885341909876363
GSE48452	GSM1178987	CD14+Monocytes	1.4147540666479068
GSE48452	GSM1178987	CD16+Monocytes	-0.9445414244187543
GSE48452	GSM1178987	Macrophages C0	0.16117996533331772
GSE48452	GSM1178987	Macrophages C1	0.6483540974860874
GSE48452	GSM1178987	Macrophages C2	0.6540062060022298
GSE48452	GSM1178987	Profibrotic Macrophages	1.0682487684372888
GSE48452	GSM1178988	NASH signature	-0.37030975905091085
GSE48452	GSM1178988	Fibrosis signature	-0.40086427931103447
GSE48452	GSM1178988	NAFL signature	0.4530171266350358
GSE48452	GSM1178988	Liver aging signature	0.5772401062532246
GSE48452	GSM1178988	HSC TGF-beta signature	0.5476224027920057
GSE48452	GSM1178988	Hepatocytes	-0.2194293650020998
GSE48452	GSM1178988	Cholangiocytes	0.2213543542834908
GSE48452	GSM1178988	B cells	0.013919640159409394
GSE48452	GSM1178988	CD4 T-cell signature	-0.3915335252407392
GSE48452	GSM1178988	CD8 T-cell signature	-0.6652706215243613
GSE48452	GSM1178988	Endothelial cells	0.46100384518056187
GSE48452	GSM1178988	Kupffer cells	0.6406526944339529
GSE48452	GSM1178988	Macrophages	0.7852077620960399
GSE48452	GSM1178988	Monocytes	0.7775686597489188
GSE48452	GSM1178988	NK cells	-0.34801325979482034
GSE48452	GSM1178988	CD14+Monocytes	0.4897887300356269
GSE48452	GSM1178988	CD16+Monocytes	0.2212199390535842
GSE48452	GSM1178988	Macrophages C0	0.28015339779949333
GSE48452	GSM1178988	Macrophages C1	0.6718194224097931
GSE48452	GSM1178988	Macrophages C2	-0.14009410425452073
GSE48452	GSM1178988	Profibrotic Macrophages	0.0541315389145608
GSE48452	GSM1178989	NASH signature	-0.47429246738399916
GSE48452	GSM1178989	Fibrosis signature	-0.5011900043725063
GSE48452	GSM1178989	NAFL signature	-0.0456942038799578
GSE48452	GSM1178989	Liver aging signature	0.9291066719426144
GSE48452	GSM1178989	HSC TGF-beta signature	-0.3207105721526468
GSE48452	GSM1178989	Hepatocytes	0.7122047367636318
GSE48452	GSM1178989	Cholangiocytes	-1.032024473285158
GSE48452	GSM1178989	B cells	0.12062249284495338
GSE48452	GSM1178989	CD4 T-cell signature	0.21243053289117078
GSE48452	GSM1178989	CD8 T-cell signature	0.7517705191727851
GSE48452	GSM1178989	Endothelial cells	1.0174944592962627
GSE48452	GSM1178989	Kupffer cells	1.4869274378914992
GSE48452	GSM1178989	Macrophages	1.159586892228245
GSE48452	GSM1178989	Monocytes	1.4376384621835117
GSE48452	GSM1178989	NK cells	1.226530737099686
GSE48452	GSM1178989	CD14+Monocytes	0.7459107081059516
GSE48452	GSM1178989	CD16+Monocytes	1.1880348049970941
GSE48452	GSM1178989	Macrophages C0	1.4687341719394582
GSE48452	GSM1178989	Macrophages C1	0.8184399268454988
GSE48452	GSM1178989	Macrophages C2	0.8157381764433681
GSE48452	GSM1178989	Profibrotic Macrophages	0.9338219558325181
GSE48452	GSM1178990	NASH signature	-0.18836410761804812
GSE48452	GSM1178990	Fibrosis signature	-0.4958654959519963
GSE48452	GSM1178990	NAFL signature	0.5667387661587218
GSE48452	GSM1178990	Liver aging signature	-0.0372913451486693
GSE48452	GSM1178990	HSC TGF-beta signature	-0.18316811412513007
GSE48452	GSM1178990	Hepatocytes	-0.048797269996825356
GSE48452	GSM1178990	Cholangiocytes	-1.1453545045537867
GSE48452	GSM1178990	B cells	-0.5959742058627996
GSE48452	GSM1178990	CD4 T-cell signature	-0.3590882628383193
GSE48452	GSM1178990	CD8 T-cell signature	0.11429884231574287
GSE48452	GSM1178990	Endothelial cells	0.4024925108841898
GSE48452	GSM1178990	Kupffer cells	0.38036507150822163
GSE48452	GSM1178990	Macrophages	-0.02763987959650984
GSE48452	GSM1178990	Monocytes	-0.44398121291351356
GSE48452	GSM1178990	NK cells	-0.2760384755236851
GSE48452	GSM1178990	CD14+Monocytes	-0.8502099398698619
GSE48452	GSM1178990	CD16+Monocytes	0.11597018126763299
GSE48452	GSM1178990	Macrophages C0	-1.0997475343189314
GSE48452	GSM1178990	Macrophages C1	-0.17577088445518302
GSE48452	GSM1178990	Macrophages C2	-0.20645755428301624
GSE48452	GSM1178990	Profibrotic Macrophages	-0.7070930922304571
GSE48452	GSM1178991	NASH signature	-1.6058094514546184
