signature	rank	gene	source	doi	source_table
Fibrosis signature	37	GPX2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	38	UBD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	39	SPP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	40	LTBP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	41	TYMS	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	42	THY1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	43	PLCXD3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	44	SMOC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	45	GPC3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	46	FABP5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	47	CHST4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	48	MMP7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	49	BICC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	50	PDGFD	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	51	GSN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	52	VTCN1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	53	PROCR	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	54	LBH	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	55	DTL	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	56	ANXA2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	57	CHST9	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	58	C7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	59	SLC44A3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	60	CLDN7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	61	PODN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	62	BEX2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	63	ZWINT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	64	FAM3B	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	65	FCER1A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	66	SPINT2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	67	FBLN5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	68	FABP4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	69	CLIC6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	70	EDA2R	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	71	FAT1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	72	LAMA2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	73	S100A6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	74	HKDC1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	75	FAM169A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	76	TIMP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	77	SLC1A7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	78	KDELR3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	1	LGALS4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	2	CYP7A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	3	PEG10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	4	OXT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	5	HBB	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	6	INHBE	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	7	NCAM2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	8	PRAP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	9	ENO3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	10	FNDC5	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	11	TM7SF2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	12	EEF1A2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	13	TRHDE	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	14	CLGN	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	15	FADS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	16	GPAM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	17	PPP1R3C	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NAFL signature	18	SLC39A7	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
